靡ㄩ絏	虏嘿	るら	秨絃基(じ)	程蔼基(じ)	程基(じ)	Μ絃基(じ)	Θユ(じ)
4938   	㎝河         	20110103	   29.32	   29.42	   29.21	   29.28	       89508
4938   	㎝河         	20110104	   29.42	   29.56	   29.28	   29.42	      107340
4938   	㎝河         	20110105	   29.42	   29.42	   28.16	   28.72	      193077
4938   	㎝河         	20110106	   28.93	   29.00	   28.02	   28.20	      259533
4938   	㎝河         	20110107	   28.02	   28.16	   27.22	   27.32	      330576
4938   	㎝河         	20110110	   27.60	   27.99	   26.76	   27.11	      292461
4938   	㎝河         	20110111	   27.22	   27.95	   27.08	   27.81	      207006
4938   	㎝河         	20110112	   27.99	   28.09	   27.46	   27.50	      182466
4938   	㎝河         	20110113	   27.99	   28.16	   27.67	   28.02	      340223
4938   	㎝河         	20110114	   28.30	   28.34	   27.81	   27.81	      123286
4938   	㎝河         	20110117	   28.30	   28.30	   27.67	   27.71	      107668
4938   	㎝河         	20110118	   27.60	   27.92	   27.53	   27.92	       80677
4938   	㎝河         	20110119	   27.92	   27.95	   27.39	   27.46	      256032
4938   	㎝河         	20110120	   27.39	   27.39	   26.90	   27.04	      275847
4938   	㎝河         	20110121	   26.90	   26.94	   26.66	   26.66	      311093
4938   	㎝河         	20110124	   28.51	   28.51	   27.81	   27.99	      403938
4938   	㎝河         	20110125	   27.99	   28.34	   27.46	   27.67	      267512
4938   	㎝河         	20110126	   27.67	   27.99	   27.43	   27.71	      123082
4938   	㎝河         	20110127	   28.23	   28.23	   27.81	   27.95	      164568
4938   	㎝河         	20110128	   28.02	   28.23	   28.02	   28.09	      202750
4938   	㎝河         	20110208	   28.09	   28.20	   27.46	   27.46	      245408
4938   	㎝河         	20110209	   27.46	   27.92	   27.46	   27.60	      284252
4938   	㎝河         	20110210	   27.11	   27.39	   26.34	   26.34	      439702
4938   	㎝河         	20110211	   26.34	   26.76	   26.13	   26.13	      230839
4938   	㎝河         	20110214	   26.27	   26.97	   26.13	   26.90	      200016
4938   	㎝河         	20110215	   26.90	   26.97	   26.34	   26.41	      302326
4938   	㎝河         	20110216	   26.69	   27.11	   26.69	   26.87	      295439
4938   	㎝河         	20110217	   26.87	   26.90	   26.31	   26.34	      338297
4938   	㎝河         	20110218	   26.69	   26.76	   26.41	   26.55	      271796
4938   	㎝河         	20110221	   26.27	   26.41	   25.68	   25.68	      377417
4938   	㎝河         	20110222	   25.36	   25.36	   23.89	   24.06	      849686
4938   	㎝河         	20110223	   23.96	   24.31	   23.50	   23.61	      391402
4938   	㎝河         	20110224	   23.61	   24.20	   23.61	   23.89	      329926
4938   	㎝河         	20110225	   24.17	   24.87	   24.03	   24.52	      317300
4938   	㎝河         	20110301	   24.66	   25.22	   24.20	   25.01	      396512
4938   	㎝河         	20110302	   24.38	   24.52	   23.78	   23.82	      639255
4938   	㎝河         	20110303	   23.82	   24.55	   23.36	   24.03	      612896
4938   	㎝河         	20110304	   24.17	   25.36	   24.17	   25.12	      739831
4938   	㎝河         	20110307	   25.08	   25.08	   24.59	   24.66	      200093
4938   	㎝河         	20110308	   24.66	   25.08	   24.62	   24.73	      183170
4938   	㎝河         	20110309	   25.08	   25.08	   24.38	   24.62	      170612
4938   	㎝河         	20110310	   24.38	   24.38	   23.50	   23.82	      305129
4938   	㎝河         	20110311	   23.47	   23.71	   23.40	   23.43	      293137
4938   	㎝河         	20110314	   23.12	   23.12	   22.42	   22.56	      369047
4938   	㎝河         	20110315	   22.80	   23.01	   21.37	   22.49	      379581
4938   	㎝河         	20110316	   22.49	   22.98	   21.61	   21.79	      327034
4938   	㎝河         	20110317	   21.37	   22.38	   21.33	   22.31	      134716
4938   	㎝河         	20110318	   22.35	   22.98	   22.17	   22.98	      213548
4938   	㎝河         	20110321	   22.98	   22.98	   22.56	   22.59	      120035
4938   	㎝河         	20110322	   23.05	   23.05	   22.70	   22.80	      130667
4938   	㎝河         	20110323	   23.08	   23.33	   22.84	   23.22	      109367
4938   	㎝河         	20110324	   23.61	   24.34	   23.36	   24.03	      289613
4938   	㎝河         	20110325	   24.38	   24.38	   23.68	   23.68	      144342
4938   	㎝河         	20110328	   23.12	   23.12	   22.56	   22.73	      156524
4938   	㎝河         	20110329	   22.42	   22.59	   22.24	   22.42	      192926
4938   	㎝河         	20110330	   22.73	   22.98	   22.56	   22.80	      238601
4938   	㎝河         	20110331	   23.01	   23.36	   22.84	   23.36	      155270
4938   	㎝河         	20110401	   23.47	   23.47	   22.87	   23.15	      127471
4938   	㎝河         	20110406	   23.47	   23.82	   23.43	   23.82	      385243
4938   	㎝河         	20110407	   23.82	   23.96	   23.57	   23.82	      157885
4938   	㎝河         	20110408	   23.96	   24.17	   23.89	   23.96	      187522
4938   	㎝河         	20110411	   24.10	   24.17	   23.96	   24.13	      138045
4938   	㎝河         	20110412	   24.10	   24.10	   23.61	   23.78	      126427
4938   	㎝河         	20110413	   23.78	   24.17	   23.71	   24.10	      100272
4938   	㎝河         	20110414	   24.17	   24.48	   24.06	   24.20	      133674
4938   	㎝河         	20110415	   24.38	   24.38	   23.61	   23.78	       91170
4938   	㎝河         	20110418	   23.78	   23.82	   23.61	   23.61	       58219
4938   	㎝河         	20110419	   23.47	   23.54	   23.15	   23.40	       64947
4938   	㎝河         	20110420	   23.78	   23.99	   23.57	   23.99	       85694
4938   	㎝河         	20110421	   24.17	   24.48	   23.99	   24.27	      119559
4938   	㎝河         	20110422	   24.27	   24.38	   23.99	   24.06	       61453
4938   	㎝河         	20110425	   24.10	   24.24	   23.61	   23.61	       76937
4938   	㎝河         	20110426	   23.61	   23.68	   22.84	   23.12	      271114
4938   	㎝河         	20110427	   23.15	   23.33	   22.42	   22.59	      391076
4938   	㎝河         	20110428	   22.42	   22.42	   21.61	   21.72	      414853
4938   	㎝河         	20110429	   21.44	   21.58	   20.88	   21.16	      463892
4938   	㎝河         	20110503	   21.02	   21.09	   20.39	   20.74	      335717
4938   	㎝河         	20110504	   20.67	   21.23	   20.42	   21.23	      254532
4938   	㎝河         	20110505	   21.23	   21.30	   20.88	   21.19	      217844
4938   	㎝河         	20110506	   21.19	   21.19	   20.95	   21.19	      110346
4938   	㎝河         	20110509	   21.30	   21.61	   21.19	   21.47	       94991
4938   	㎝河         	20110510	   21.47	   21.54	   21.26	   21.33	       68958
4938   	㎝河         	20110511	   21.47	   21.54	   21.30	   21.54	       72780
4938   	㎝河         	20110512	   21.37	   21.44	   21.19	   21.33	       71428
4938   	㎝河         	20110513	   21.44	   21.65	   21.33	   21.58	       76961
4938   	㎝河         	20110516	   21.65	   21.93	   21.44	   21.93	      112980
4938   	㎝河         	20110517	   21.93	   22.14	   21.79	   21.86	      136688
4938   	㎝河         	20110518	   22.07	   22.07	   21.65	   21.96	      179124
4938   	㎝河         	20110519	   21.86	   21.96	   21.09	   21.37	      222422
4938   	㎝河         	20110520	   21.37	   21.37	   20.81	   20.98	      249521
4938   	㎝河         	20110523	   20.88	   20.98	   20.53	   20.63	      150010
4938   	㎝河         	20110524	   20.56	   21.33	   20.53	   21.02	      140896
4938   	㎝河         	20110525	   20.81	   20.88	   20.53	   20.74	      122225
4938   	㎝河         	20110526	   20.95	   21.93	   20.84	   21.93	      193828
4938   	㎝河         	20110527	   22.00	   22.00	   21.61	   21.79	      125149
4938   	㎝河         	20110530	   21.72	   21.86	   21.47	   21.47	       58473
4938   	㎝河         	20110531	   21.51	   21.93	   21.37	   21.61	      476977
4938   	㎝河         	20110601	   21.61	   22.14	   21.61	   21.79	      177508
4938   	㎝河         	20110602	   21.72	   22.14	   21.61	   22.03	      187674
4938   	㎝河         	20110603	   22.24	   22.73	   22.10	   22.28	      175413
4938   	㎝河         	20110607	   22.28	   22.49	   21.72	   21.86	      103030
4938   	㎝河         	20110608	   22.03	   22.07	   21.79	   22.00	       90632
4938   	㎝河         	20110609	   22.03	   22.42	   22.03	   22.21	       93836
4938   	㎝河         	20110610	   22.56	   22.63	   21.72	   21.72	       68903
4938   	㎝河         	20110613	   21.51	   21.79	   21.12	   21.26	      113721
4938   	㎝河         	20110614	   21.23	   21.72	   21.23	   21.26	      154166
4938   	㎝河         	20110615	   21.58	   22.14	   21.16	   22.00	      208732
4938   	㎝河         	20110616	   21.65	   21.79	   20.67	   20.70	      216273
4938   	㎝河         	20110617	   21.02	   21.19	   20.18	   20.53	      277051
4938   	㎝河         	20110620	   20.53	   20.81	   20.53	   20.56	       91348
4938   	㎝河         	20110621	   20.81	   21.02	   20.63	   20.84	       56817
4938   	㎝河         	20110622	   20.98	   21.30	   20.63	   20.63	      133286
4938   	㎝河         	20110623	   20.46	   20.46	   19.69	   19.83	      354144
4938   	㎝河         	20110624	   19.83	   20.18	   19.83	   19.90	       84531
4938   	㎝河         	20110627	   19.69	   20.07	   19.62	   20.00	       61011
4938   	㎝河         	20110628	   20.95	   20.95	   20.39	   20.42	      117050
4938   	㎝河         	20110629	   20.74	   20.88	   20.49	   20.53	      143686
4938   	㎝河         	20110630	   20.67	   20.84	   20.67	   20.84	       63149
4938   	㎝河         	20110701	   20.84	   21.02	   20.74	   21.02	       65315
4938   	㎝河         	20110704	   21.02	   21.09	   20.32	   20.39	      104265
4938   	㎝河         	20110705	   20.70	   21.12	   20.67	   21.02	      170722
4938   	㎝河         	20110706	   21.16	   21.16	   20.81	   20.95	       62363
4938   	㎝河         	20110707	   21.44	   22.38	   21.40	   22.38	      277982
4938   	㎝河         	20110708	   23.01	   23.89	   23.01	   23.75	      905288
4938   	㎝河         	20110711	   24.45	   24.83	   23.89	   24.20	      630658
4938   	㎝河         	20110712	   24.17	   24.94	   23.47	   24.52	      699189
4938   	㎝河         	20110713	   24.59	   25.19	   23.92	   24.45	      878466
4938   	㎝河         	20110714	   24.45	   24.45	   23.01	   23.64	      536359
4938   	㎝河         	20110715	   23.85	   24.27	   23.26	   23.82	      409004
4938   	㎝河         	20110718	   23.33	   23.61	   23.01	   23.36	      301836
4938   	㎝河         	20110719	   23.12	   23.92	   23.08	   23.78	      284812
4938   	㎝河         	20110720	   24.17	   24.24	   23.57	   23.75	      377881
4938   	㎝河         	20110721	   24.17	   25.22	   24.17	   24.38	      661193
4938   	㎝河         	20110722	   24.41	   24.55	   23.96	   24.10	      293384
4938   	㎝河         	20110725	   24.38	   24.69	   23.96	   23.96	      174409
4938   	㎝河         	20110726	   24.03	   24.38	   23.82	   24.27	      161331
4938   	㎝河         	20110727	   24.13	   24.76	   24.10	   24.27	      256985
4938   	㎝河         	20110728	   24.06	   24.17	   23.47	   23.47	      191489
4938   	㎝河         	20110729	   23.47	   23.75	   23.08	   23.22	      156302
4938   	㎝河         	20110801	   23.47	   24.10	   23.47	   23.92	      170352
4938   	㎝河         	20110802	   23.99	   24.06	   23.57	   23.57	       77176
4938   	㎝河         	20110803	   23.12	   23.26	   22.70	   22.91	      156354
4938   	㎝河         	20110804	   22.98	   23.15	   22.80	   22.84	       84576
4938   	㎝河         	20110805	   21.26	   21.72	   21.26	   21.26	      133426
4938   	㎝河         	20110808	   21.02	   21.02	   19.79	   19.79	      305214
4938   	㎝河         	20110809	   18.42	   18.70	   18.42	   18.42	      323142
4938   	㎝河         	20110810	   19.69	   19.69	   18.95	   19.69	      328413
4938   	㎝河         	20110811	   18.92	   19.62	   18.92	   19.06	      184698
4938   	㎝河         	20110812	   19.55	   19.93	   19.30	   19.30	      309422
4938   	㎝河         	20110815	   19.55	   20.53	   19.55	   20.53	      209966
4938   	㎝河         	20110816	   20.88	   20.88	   20.00	   20.32	      158560
4938   	㎝河         	20110817	   20.32	   20.46	   19.41	   19.58	      158765
4938   	㎝河         	20110818	   19.58	   19.93	   19.02	   19.13	      181611
4938   	㎝河         	20110819	   18.92	   18.92	   18.07	   18.39	      207006
4938   	㎝河         	20110822	   17.65	   18.00	   17.30	   17.62	      207067
4938   	㎝河         	20110823	   18.00	   18.85	   17.86	   18.67	       80781
4938   	㎝河         	20110824	   19.06	   19.06	   18.67	   18.85	      104907
4938   	㎝河         	20110825	   19.20	   19.93	   19.09	   19.30	      137044
4938   	㎝河         	20110826	   18.70	   19.30	   18.70	   18.99	      167991
4938   	㎝河         	20110829	   19.02	   19.83	   19.02	   19.55	       92114
4938   	㎝河         	20110830	   19.65	   19.83	   19.48	   19.65	      119953
4938   	㎝河         	20110831	   19.48	   19.69	   19.16	   19.69	      132791
4938   	㎝河         	20110901	   19.72	   20.56	   19.72	   20.07	      174255
4938   	㎝河         	20110902	   20.07	   20.07	   19.65	   19.76	       77255
4938   	㎝河         	20110905	   19.62	   19.62	   18.92	   19.09	      111283
4938   	㎝河         	20110906	   19.20	   19.20	   18.63	   18.67	       95021
4938   	㎝河         	20110907	   18.92	   19.13	   18.92	   19.06	      103809
4938   	㎝河         	20110908	   18.92	   20.18	   18.77	   19.83	      203933
4938   	㎝河         	20110909	   19.94	   20.20	   19.60	   19.75	      158274
4938   	㎝河         	20110913	   19.35	   19.75	   19.35	   19.42	       98747
4938   	㎝河         	20110914	   19.42	   19.79	   19.09	   19.42	      126556
4938   	㎝河         	20110915	   19.83	   20.75	   19.64	   20.64	      162273
4938   	㎝河         	20110916	   21.12	   22.08	   21.12	   22.08	      354350
4938   	㎝河         	20110919	   22.41	   22.71	   21.60	   21.60	      365952
4938   	㎝河         	20110920	   21.60	   22.11	   21.45	   22.11	      180717
4938   	㎝河         	20110921	   22.15	   22.34	   21.86	   22.04	      204807
4938   	㎝河         	20110922	   21.71	   21.71	   21.01	   21.01	      141956
4938   	㎝河         	20110923	   20.31	   20.31	   19.94	   19.94	      134779
4938   	㎝河         	20110926	   19.94	   20.49	   19.57	   19.60	      134667
4938   	㎝河         	20110927	   20.53	   20.82	   20.05	   20.12	      200610
4938   	㎝河         	20110928	   20.64	   21.12	   20.45	   21.12	      213233
4938   	㎝河         	20110929	   21.01	   21.38	   20.75	   20.79	      128305
4938   	㎝河         	20110930	   20.82	   21.15	   20.56	   21.12	      142117
