ÃÒ¨é¥N½X	Â²ºÙ	¦~¤ë¤é	¶}½L»ù(¤¸)	³Ì°ª»ù(¤¸)	³Ì§C»ù(¤¸)	¦¬½L»ù(¤¸)	¦¨¥æ­È(¤d¤¸)
1417   	¹Å¸Î         	20110103	   11.01	   11.52	   10.92	   11.52	      436320
1417   	¹Å¸Î         	20110104	   11.70	   11.84	   11.33	   11.43	      366786
1417   	¹Å¸Î         	20110105	   11.52	   11.52	   10.73	   10.78	      146458
1417   	¹Å¸Î         	20110106	   10.78	   10.82	   10.64	   10.82	       71515
1417   	¹Å¸Î         	20110107	   10.78	   10.87	   10.45	   10.55	       74373
1417   	¹Å¸Î         	20110110	   10.59	   10.73	   10.50	   10.55	       32930
1417   	¹Å¸Î         	20110111	   10.64	   10.69	   10.55	   10.64	       39617
1417   	¹Å¸Î         	20110112	   10.69	   10.78	   10.55	   10.59	       40659
1417   	¹Å¸Î         	20110113	   10.69	   10.73	   10.45	   10.45	       40419
1417   	¹Å¸Î         	20110114	   10.45	   10.64	   10.45	   10.50	       30967
1417   	¹Å¸Î         	20110117	   10.50	   10.59	   10.36	   10.41	       35451
1417   	¹Å¸Î         	20110118	   10.36	   10.50	   10.22	   10.32	       43205
1417   	¹Å¸Î         	20110119	   10.32	   10.45	   10.22	   10.32	       39553
1417   	¹Å¸Î         	20110120	   10.32	   10.36	   10.18	   10.18	       38784
1417   	¹Å¸Î         	20110121	   10.13	   10.13	    9.95	   10.08	       43392
1417   	¹Å¸Î         	20110124	   10.08	   10.45	   10.08	   10.32	       56534
1417   	¹Å¸Î         	20110125	   10.32	   10.50	   10.27	   10.27	       34935
1417   	¹Å¸Î         	20110126	   10.32	   10.32	   10.22	   10.22	       17195
1417   	¹Å¸Î         	20110127	   10.27	   10.59	   10.22	   10.41	      107805
1417   	¹Å¸Î         	20110128	   10.41	   10.45	   10.22	   10.22	       26284
1417   	¹Å¸Î         	20110208	   10.32	   10.69	   10.18	   10.50	       88775
1417   	¹Å¸Î         	20110209	   10.50	   10.50	   10.27	   10.27	       26410
1417   	¹Å¸Î         	20110210	   10.27	   10.45	   10.27	   10.27	       24740
1417   	¹Å¸Î         	20110211	   10.32	   10.36	    9.95	   10.08	       32408
1417   	¹Å¸Î         	20110214	    9.99	   10.13	    9.95	    9.99	       20661
1417   	¹Å¸Î         	20110215	    9.99	   10.08	    9.90	    9.95	       19646
1417   	¹Å¸Î         	20110216	    9.99	   10.13	    9.90	    9.95	       14100
1417   	¹Å¸Î         	20110217	    9.99	   10.04	    9.90	    9.95	       14820
1417   	¹Å¸Î         	20110218	    9.99	   10.45	    9.99	   10.32	       54494
1417   	¹Å¸Î         	20110221	   10.41	   10.41	   10.13	   10.18	       20898
1417   	¹Å¸Î         	20110222	   10.04	   10.08	    9.76	    9.76	       30635
1417   	¹Å¸Î         	20110223	    9.67	    9.85	    9.53	    9.58	       21330
1417   	¹Å¸Î         	20110224	    9.67	    9.71	    9.44	    9.44	       18177
1417   	¹Å¸Î         	20110225	    9.53	    9.76	    9.21	    9.67	       66208
1417   	¹Å¸Î         	20110301	    9.67	    9.76	    9.58	    9.62	       18474
1417   	¹Å¸Î         	20110302	    9.58	    9.67	    9.34	    9.48	       11551
1417   	¹Å¸Î         	20110303	    9.58	    9.62	    9.48	    9.48	       15313
1417   	¹Å¸Î         	20110304	    9.58	    9.62	    9.39	    9.44	       16281
1417   	¹Å¸Î         	20110307	    9.44	    9.44	    9.25	    9.25	       12528
1417   	¹Å¸Î         	20110308	    9.25	    9.44	    9.25	    9.34	       13018
1417   	¹Å¸Î         	20110309	    9.48	    9.48	    9.34	    9.39	       12282
1417   	¹Å¸Î         	20110310	    9.44	    9.44	    9.30	    9.44	       10464
1417   	¹Å¸Î         	20110311	    9.30	    9.34	    9.22	    9.25	       13324
1417   	¹Å¸Î         	20110314	    9.23	    9.23	    8.61	    8.72	       22477
1417   	¹Å¸Î         	20110315	    8.61	    8.70	    8.11	    8.14	       37846
1417   	¹Å¸Î         	20110316	    8.22	    8.45	    8.07	    8.40	       33370
1417   	¹Å¸Î         	20110317	    8.14	    8.58	    8.14	    8.52	       38356
1417   	¹Å¸Î         	20110318	    8.53	    8.79	    8.47	    8.60	       36970
1417   	¹Å¸Î         	20110321	    8.63	    8.79	    8.61	    8.68	       16431
1417   	¹Å¸Î         	20110322	    8.78	    8.87	    8.69	    8.74	       23425
1417   	¹Å¸Î         	20110323	    8.74	    8.93	    8.74	    8.84	       18690
1417   	¹Å¸Î         	20110324	    8.88	    9.21	    8.84	    9.11	       29076
1417   	¹Å¸Î         	20110325	    9.18	    9.22	    9.07	    9.08	       16012
1417   	¹Å¸Î         	20110328	    9.10	    9.25	    9.08	    9.15	       21037
1417   	¹Å¸Î         	20110329	    9.30	    9.30	    9.16	    9.19	       14402
1417   	¹Å¸Î         	20110330	    9.23	    9.25	    9.21	    9.23	        7494
1417   	¹Å¸Î         	20110331	    9.25	    9.25	    9.19	    9.19	       11387
1417   	¹Å¸Î         	20110401	    9.19	    9.44	    9.19	    9.39	       13759
1417   	¹Å¸Î         	20110406	    9.67	    9.76	    9.58	    9.67	       37322
1417   	¹Å¸Î         	20110407	    9.71	   10.13	    9.71	    9.95	       66055
1417   	¹Å¸Î         	20110408	    9.95	   10.13	    9.90	    9.95	       30717
1417   	¹Å¸Î         	20110411	    9.95	   10.04	    9.67	    9.71	       22101
1417   	¹Å¸Î         	20110412	    9.71	    9.81	    9.44	    9.71	       24437
1417   	¹Å¸Î         	20110413	    9.71	    9.95	    9.58	    9.76	       34351
1417   	¹Å¸Î         	20110414	    9.76	    9.81	    9.67	    9.67	       10276
1417   	¹Å¸Î         	20110415	    9.67	    9.76	    9.62	    9.62	       13988
1417   	¹Å¸Î         	20110418	    9.62	    9.71	    9.48	    9.48	       14009
1417   	¹Å¸Î         	20110419	    9.34	    9.48	    9.34	    9.44	       10189
1417   	¹Å¸Î         	20110420	    9.53	    9.62	    9.44	    9.44	       20426
1417   	¹Å¸Î         	20110421	    9.53	    9.71	    9.53	    9.58	       34817
1417   	¹Å¸Î         	20110422	    9.62	    9.81	    9.62	    9.67	       17665
1417   	¹Å¸Î         	20110425	    9.71	    9.81	    9.62	    9.71	       17936
1417   	¹Å¸Î         	20110426	    9.62	    9.71	    9.53	    9.53	       12850
1417   	¹Å¸Î         	20110427	    9.58	    9.71	    9.58	    9.58	       13978
1417   	¹Å¸Î         	20110428	    9.67	    9.67	    9.53	    9.53	       11453
1417   	¹Å¸Î         	20110429	    9.53	    9.62	    9.30	    9.39	       18713
1417   	¹Å¸Î         	20110503	    9.34	    9.34	    9.17	    9.18	       19395
1417   	¹Å¸Î         	20110504	    9.18	    9.44	    9.12	    9.39	       12371
1417   	¹Å¸Î         	20110505	    9.44	    9.62	    9.30	    9.48	       18749
1417   	¹Å¸Î         	20110506	    9.48	    9.48	    9.30	    9.34	        8632
1417   	¹Å¸Î         	20110509	    9.34	    9.48	    9.34	    9.44	       11681
1417   	¹Å¸Î         	20110510	    9.44	    9.53	    9.39	    9.44	        8212
1417   	¹Å¸Î         	20110511	    9.48	    9.53	    9.44	    9.44	       14479
1417   	¹Å¸Î         	20110512	    9.44	    9.76	    9.44	    9.67	       24188
1417   	¹Å¸Î         	20110513	    9.71	    9.71	    9.44	    9.58	       16532
1417   	¹Å¸Î         	20110516	    9.58	    9.62	    9.34	    9.34	       11482
1417   	¹Å¸Î         	20110517	    9.44	    9.44	    9.25	    9.30	       13042
1417   	¹Å¸Î         	20110518	    9.25	    9.34	    9.21	    9.30	        9002
1417   	¹Å¸Î         	20110519	    9.34	    9.39	    9.25	    9.25	       12209
1417   	¹Å¸Î         	20110520	    9.25	    9.30	    9.18	    9.20	        9342
1417   	¹Å¸Î         	20110523	    9.21	    9.23	    8.97	    9.05	        8827
1417   	¹Å¸Î         	20110524	    8.97	    9.04	    8.68	    8.80	       17653
1417   	¹Å¸Î         	20110525	    8.71	    9.34	    8.68	    9.20	       37185
1417   	¹Å¸Î         	20110526	    9.18	    9.24	    9.09	    9.10	        9437
1417   	¹Å¸Î         	20110527	    9.10	    9.21	    8.98	    9.00	       12134
1417   	¹Å¸Î         	20110530	    9.00	    9.08	    8.93	    8.94	        6694
1417   	¹Å¸Î         	20110531	    8.97	    9.06	    8.97	    9.02	        8316
1417   	¹Å¸Î         	20110601	    9.09	    9.10	    9.02	    9.04	        6084
1417   	¹Å¸Î         	20110602	    8.97	    9.07	    8.93	    8.95	        5210
1417   	¹Å¸Î         	20110603	    8.97	    9.05	    8.93	    8.97	        6065
1417   	¹Å¸Î         	20110607	    8.97	    8.97	    8.84	    8.88	        8562
1417   	¹Å¸Î         	20110608	    8.85	    8.89	    8.82	    8.82	        6782
1417   	¹Å¸Î         	20110609	    8.84	    8.95	    8.84	    8.86	        3671
1417   	¹Å¸Î         	20110610	    8.96	    8.96	    8.74	    8.76	        8033
1417   	¹Å¸Î         	20110613	    8.70	    8.75	    8.65	    8.70	        7094
1417   	¹Å¸Î         	20110614	    8.72	    8.77	    8.65	    8.67	        6163
1417   	¹Å¸Î         	20110615	    8.74	    8.74	    8.60	    8.62	        5207
1417   	¹Å¸Î         	20110616	    8.60	    8.60	    8.46	    8.46	        6133
1417   	¹Å¸Î         	20110617	    8.49	    8.55	    8.42	    8.42	        4670
1417   	¹Å¸Î         	20110620	    8.47	    8.60	    8.35	    8.35	        6089
1417   	¹Å¸Î         	20110621	    8.38	    8.46	    8.30	    8.33	        5345
1417   	¹Å¸Î         	20110622	    8.35	    8.47	    8.35	    8.42	        6369
1417   	¹Å¸Î         	20110623	    8.47	    8.47	    8.33	    8.37	        6418
1417   	¹Å¸Î         	20110624	    8.38	    8.47	    8.35	    8.47	        7571
1417   	¹Å¸Î         	20110627	    8.42	    8.67	    8.42	    8.59	        8058
