證券代碼	簡稱	年月日	開盤價(元)	最高價(元)	最低價(元)	收盤價(元)	成交值(千元)
1503   	士電         	20110103	   30.77	   31.11	   30.65	   30.73	       75689
1503   	士電         	20110104	   30.81	   31.00	   30.39	   30.42	       45538
1503   	士電         	20110105	   30.42	   30.46	   29.78	   29.93	       39689
1503   	士電         	20110106	   29.93	   29.93	   29.70	   29.85	       18636
1503   	士電         	20110107	   29.82	   29.85	   29.24	   29.32	       27769
1503   	士電         	20110110	   29.36	   29.55	   29.17	   29.51	       30288
1503   	士電         	20110111	   29.51	   29.85	   29.40	   29.70	       22569
1503   	士電         	20110112	   29.70	   29.93	   29.66	   29.74	       49821
1503   	士電         	20110113	   29.85	   29.93	   29.70	   29.70	       32718
1503   	士電         	20110114	   29.70	   29.70	   29.47	   29.47	       20932
1503   	士電         	20110117	   29.47	   29.63	   29.09	   29.09	       25731
1503   	士電         	20110118	   29.13	   29.55	   29.09	   29.47	       14897
1503   	士電         	20110119	   29.47	   29.70	   29.32	   29.66	       22938
1503   	士電         	20110120	   29.63	   29.74	   29.59	   29.59	       13070
1503   	士電         	20110121	   29.55	   29.66	   29.32	   29.51	       10770
1503   	士電         	20110124	   29.51	   29.63	   29.32	   29.55	       11308
1503   	士電         	20110125	   29.55	   29.66	   29.32	   29.63	       15162
1503   	士電         	20110126	   29.63	   29.63	   29.47	   29.63	       15855
1503   	士電         	20110127	   29.40	   29.63	   29.24	   29.63	       36749
1503   	士電         	20110128	   29.32	   29.55	   29.17	   29.40	       42005
1503   	士電         	20110208	   29.40	   29.55	   29.32	   29.47	       12023
1503   	士電         	20110209	   29.47	   29.51	   29.13	   29.13	       12160
1503   	士電         	20110210	   28.98	   29.36	   28.94	   29.24	       21257
1503   	士電         	20110211	   28.94	   29.09	   27.80	   27.87	       39767
1503   	士電         	20110214	   27.95	   27.95	   27.30	   27.30	       42156
1503   	士電         	20110215	   27.34	   27.42	   27.07	   27.15	       31923
1503   	士電         	20110216	   27.15	   27.49	   27.15	   27.15	       29485
1503   	士電         	20110217	   27.19	   27.38	   27.15	   27.38	       18200
1503   	士電         	20110218	   27.42	   27.80	   27.38	   27.61	       30942
1503   	士電         	20110221	   27.80	   27.95	   27.61	   27.76	       21363
1503   	士電         	20110222	   27.76	   27.76	   27.15	   27.65	       36421
1503   	士電         	20110223	   27.26	   27.42	   26.92	   27.26	       26250
1503   	士電         	20110224	   27.04	   27.42	   27.04	   27.42	       22297
1503   	士電         	20110225	   27.42	   27.57	   27.11	   27.42	       19000
1503   	士電         	20110301	   27.45	   27.84	   27.42	   27.61	       40068
1503   	士電         	20110302	   27.45	   27.68	   27.42	   27.42	       17311
1503   	士電         	20110303	   27.42	   27.84	   27.42	   27.72	       15318
1503   	士電         	20110304	   27.91	   27.91	   27.42	   27.65	       21407
1503   	士電         	20110307	   27.68	   27.72	   27.34	   27.34	       12975
1503   	士電         	20110308	   27.42	   27.65	   27.42	   27.57	        9357
1503   	士電         	20110309	   27.57	   27.68	   27.49	   27.61	       19029
1503   	士電         	20110310	   27.49	   27.57	   27.42	   27.42	       13215
1503   	士電         	20110311	   27.04	   27.42	   27.04	   27.38	       20052
1503   	士電         	20110314	   27.38	   28.18	   27.11	   27.53	       31533
1503   	士電         	20110315	   27.04	   27.38	   26.05	   26.58	       39260
1503   	士電         	20110316	   26.73	   27.00	   26.58	   27.00	       35123
1503   	士電         	20110317	   26.66	   27.34	   26.54	   27.00	       39517
1503   	士電         	20110318	   27.26	   27.76	   26.96	   27.45	       32632
1503   	士電         	20110321	   27.45	   27.72	   27.04	   27.19	       34466
1503   	士電         	20110322	   27.19	   27.65	   27.19	   27.49	       28004
1503   	士電         	20110323	   27.49	   27.68	   27.34	   27.49	       29040
1503   	士電         	20110324	   27.65	   28.06	   27.65	   27.99	       40425
1503   	士電         	20110325	   27.95	   27.99	   27.57	   27.99	       41245
